"scCv2|GABAergic" "scCv2|Glutamatergic" "scCv2|Other" "scCv3|GABAergic" "scCv3|Glutamatergic" "scCv3|Other" "scSS|GABAergic" "scSS|Glutamatergic" "scSS|Other" "snCv2|GABAergic" "snCv2|Glutamatergic" "snCv2|Other" "snCv3M|GABAergic" "snCv3M|Glutamatergic" "snCv3M|Other" "snCv3Z|GABAergic" "snCv3Z|Glutamatergic" "snCv3Z|Other" "snSS|GABAergic" "snSS|Glutamatergic" "snSS|Other"
"n_cells" 27594 93829 1218 7929 61793 1461 2093 4152 43 9674 65998 853 15811 85733 58194 6522 33183 461 1745 4169 257
"2610035D17Rik" 262.734511593775 2460.22371559306 57.8112219172511 153.457565517008 1676.16517431056 72.9893593377455 6.33577627032866 98.355402899259 0.514941234736708 -115.401747006332 -186.685172089928 8.08873371455712 220.017449698075 2878.20534865814 3741.78499323541 39.3641178030594 695.015056407125 19.3276053204866 -35.3375050672223 -44.9243363369806 -1.19716071119689
"9030624J02Rik" 66.220361001007 -8.52732078721642 3.6253691276201 189.772523242092 821.397022390541 29.7969135889292 70.1304518923429 187.269449356774 0.351130825549004 -16.7653486778839 -48.3205255609064 1.43066913018158 224.283608340722 1094.33894838533 1038.75560902725 88.6156671153138 540.594490446647 6.4919701776441 26.9870410046461 63.181257010231 1.41065696316459
"Aacs" -566.573423522414 -889.695053879515 -13.4607648165379 -158.689675334133 -599.498456436383 -14.0575304587712 4.55861909677798 108.051408261814 -0.415531235486283 -115.876333601914 -412.490544877217 -6.3273353444798 -370.926141227064 -1050.73113984185 -661.193223199162 -115.384489532094 -280.92473718407 -5.54500985358092 -10.6421294147462 28.3236691939663 -2.1044548729094
"Aars" 567.240967281403 782.840468806561 -5.07657999401001 228.60228828279 784.851013841358 -4.94213688854483 153.064976198828 240.78604822933 0.312057126874576 59.5626689580915 -139.969337192849 -4.4418546769193 140.617673328025 -427.892396376349 -448.226616087199 -20.0923501503815 -356.678611137666 -3.45989641913326 44.1338289285755 27.7994698588275 -1.15992567004914
"Abat" 1956.32393286361 -695.604489158924 29.7673372836276 565.162739674291 -652.135545955141 34.7417679109237 172.360157863409 -0.610794874042025 1.46419148031151 103.002075631458 -898.115533024712 1.91808261824009 822.219539964947 -1191.69627866674 914.049704299213 178.405385968228 -544.65558947866 5.71671961378779 57.0267120906157 -68.8524829207217 -0.372392381041075
"Abca8b" -211.636988827004 -364.967796382668 -10.3813026675664 16.8097303254843 412.506198529012 1.33497129847213 -45.7569277472821 -87.6079623985404 -0.616033129180811 -150.493775812643 -549.405958307577 -8.39604709362671 -163.065571117208 319.289491337687 -361.317525910444 -87.5457432713435 3.75640254353762 -4.02302022490986 -25.2087489872425 -35.2258948886542 -2.81942099265782
"Abcb10" -189.639406882353 430.451427065847 -7.73421009894607 -81.9261866155962 -683.884670320761 -3.8604238342807 -33.9898805236803 -74.8525329835662 0.159747889635954 -94.9761407990122 164.085359024898 -4.14365368524123 -267.287275791942 -1487.34159467786 -525.767338709089 -109.360087869833 -381.986819673204 -3.15039904825365 -27.1032585883289 -59.8761006659929 -1.59093398395406
"Abcd2" 183.416185245279 353.570092528059 4.0064969034589 160.50468642334 1275.19541833494 0.513277027355814 40.208124343901 48.7430290215146 -0.464150130885268 -98.3173620573076 -451.858543098759 1.40842321762423 -85.7873948931467 -343.201359812765 178.355074496061 -74.0825182355576 -16.4216460017928 2.72462127669641 2.2484325986471 -20.24017313305 0.542112106943226
"Acsl5" -439.246552053565 2035.34519389881 -18.2546832316104 -165.120149838881 1613.15904764569 -27.5772630003754 18.998986129563 240.708130831705 -0.218887230543985 -108.001554547898 242.238235293675 -9.70109075051668 -327.818132825545 210.551607640129 -1028.14844919885 -151.296278420747 -296.170334254405 -8.26538567801754 -15.5109540330816 53.3223102099349 -3.5771762998627
"Adam19" -286.075567068855 -583.38254746514 -13.4943771937546 -0.746331515212049 46.5589590872857 -1.84003082901535 -36.4055375396021 -59.6866258569797 -0.660918732167667 -141.146116462957 -502.961288854229 -6.80082598098214 -196.734090533915 -753.353817771271 -525.471613041425 -70.6513759831553 -69.8819369853771 -1.74085791966165 -19.8078996184718 5.99715286074045 -2.53376862948121
"Adam33" -989.311969192675 -1298.88739449377 -25.1477480433919 -389.917201565299 -1313.91358268518 -40.4298313424667 -85.2594474974747 -103.250243316529 -0.769616534580528 -204.869073167501 -139.396347650531 -12.4925267210061 -643.855379752648 -1397.02593043733 -1336.48151108009 -213.857750251847 -385.964997222322 -9.76529407124346 -49.7280087207115 -19.6499851472353 -3.44062390927973
"Adarb2" 1660.99767947495 -510.85331602714 16.8591327317159 533.38567951518 -1203.81324901219 27.5541951399375 61.7699409262953 -194.110692407874 -0.930473105553608 452.916157862093 -296.375498414456 1.99741392101644 332.582126769323 -1981.36344500004 -65.4058507717243 207.001687250832 -135.899382577652 6.92576536667907 65.1501214922276 -110.823191805085 -3.97466088721883
"Adat1" -399.688092536846 -1121.0132369658 -11.9517043107907 -129.279234497434 -999.349709590858 -21.9314128110515 -31.6525585061871 -69.0470522644042 -0.803173644804434 -91.7570094620793 -350.754129890835 -9.00418604219068 -124.169345591672 -509.533673483611 -552.258295767281 -51.1892810525403 -134.752899395158 -3.85075969945091 -10.059375598477 -12.2991140141798 -1.39241583534883
"Adcy8" 1219.80190792392 2136.38716360865 -17.1286510941363 455.178034530649 1710.41762953416 -24.9809745583784 -2.65304761447259 -80.2983471035566 -0.478737567178668 178.743048673824 267.989482454381 -8.79386320709427 794.290032381704 2003.32132952476 -919.203424601712 340.474666656827 670.092113535377 -4.89158816114276 3.47807791146107 -50.2908150018969 -4.13362490749778
"Akap13" -386.22270202664 282.33688427698 27.4125086524793 -89.264271211235 1441.1181735685 54.601320667655 -51.9952591375517 -28.614379119838 2.08179993594792 -86.428229198694 897.330383406305 0.729953431958814 -228.448674083141 1407.23235932723 2154.03392232924 -60.9792808990576 1221.31797181072 17.1353806448181 -19.8432410927158 75.2510880768667 3.40424098768347
"Aldoc" -640.914555335603 -2366.87682346567 50.2826992798541 -221.461905548718 -2108.88195856338 38.3940665833869 60.8958345370463 55.2433514413655 1.37153654032378 -67.6941889970744 -501.391128360972 55.9845681957487 -41.0942169831413 -3.50205855678595 2743.82051633137 -188.331810744122 -893.394771851483 9.00313310190571 0.680696189648271 -17.8090034161277 17.080274926925
"Ammecr1l" 201.999711604694 1013.1036932611 12.166766605692 105.137275233977 1282.22414604927 23.5963112089651 -27.2899133241277 -34.9546022626903 -0.43282110671791 -92.993712400397 -148.714988366259 -3.0144884151456 -150.154997519184 -111.453721947356 5.20210071190935 -69.3866762004789 3.67938899983312 -0.630326234965724 -11.063836248403 19.0128440487137 0.303177549578041
"Amy1" 173.393437277041 -622.995945643594 -11.4601413137626 251.551277128394 568.30885745281 6.74228881440119 12.3688868336814 -63.2848820832022 0.284413036575649 -6.07831337208053 -450.896463061946 -4.48665020133277 280.886751223956 -511.561858934903 -109.654472567546 114.496825596486 76.3067631881818 4.67124494484337 62.0190363683924 35.9554168932245 3.71850595586712
"Ankrd29" 101.372693171608 -1215.07993075276 -1.17516544016494 -1.87894248205028 -990.368229429253 -10.9380236433762 73.8519045512427 30.9946667091542 -0.519248985248518 -15.6114740788044 -697.487340370024 -2.71276330737705 -75.4346395648841 -1765.98120967221 -470.57307649527 -41.4401386926398 -661.528042288661 -4.26230783742966 6.51732290576354 -34.7472896409853 0.608457853652079
"Ankrd6" -384.924364343418 -1112.21764397148 7.11830018723296 -60.5227624103293 -626.479823803325 8.45226572553458 -43.3752075516063 -105.463938126582 -0.441836671052425 -169.355044832623 -464.936568983158 -3.54678234875801 -339.372632863363 -62.5556380221866 538.664734811407 -146.779592429416 -374.748104186004 1.1824461665192 -37.5324886475042 -59.0058607645558 -2.00791400350141
"Ano10" -636.659236496688 -1313.60550540041 -11.6127645475288 -191.896694695958 -1284.73851706238 -6.23602392112183 -25.7333464004931 -13.2974749776662 0.227196025835903 -157.5315762582 -565.645418316453 -6.75634328505696 -317.956229566145 -1094.34898818871 -249.318415774814 -124.440660317445 -408.185000567335 -2.99809186739139 -20.2393581335785 -28.6661363759697 -0.286323321615187
"Anxa6" -407.149648478293 380.958133182457 -10.477729738122 -106.364105921226 820.438417886555 -14.2218896564522 42.0723195962606 274.993096004482 1.36405507320865 -78.6975786918966 193.167870333837 -4.33216221001495 -278.960937418197 92.3911939669333 -615.303680653417 -105.725905112849 78.1265672030368 -3.03078733719273 22.4738160174968 133.381044456346 -0.894837311346347
"Ap4e1" -528.887420827578 -1521.62909050774 -12.4697833008063 -105.223439999933 -661.632126116704 -5.73616249480351 -36.4419600107373 -56.9012909523072 -0.210515624505745 -141.646789441664 -572.041747070054 -9.04531742181891 -144.081032738224 -191.523526007505 -170.682488312722 -62.7605364073134 15.1608725055508 -3.59344125911544 -0.242917030678238 27.3389031018152 0.155057640398487
